date,open,close,high,low,amount
2023-07-18,50.45,49.79,50.45,48.72,239882.0
2023-07-19,49.94,51.18,51.4,49.72,278044.0
2023-07-20,50.95,50.58,51.7,50.49,140516.0
2023-07-21,50.6,50.18,51.13,50.04,120709.0
2023-07-24,50.18,49.82,50.41,49.18,115888.0
2023-07-25,50.91,52.03,52.33,50.85,376481.0
2023-07-26,51.86,51.63,52.59,51.53,187526.0
2023-07-27,51.6,51.53,52.17,51.4,151970.0
2023-07-28,51.75,52.79,52.87,51.16,240041.0
2023-07-31,54.0,52.37,54.35,52.2,325183.0
2023-08-01,52.37,51.3,52.74,51.18,204186.0
2023-08-02,51.15,51.35,51.87,50.82,235436.0
2023-08-03,51.03,51.03,51.25,50.04,233629.0
2023-08-04,51.35,50.97,52.04,50.86,196637.0
2023-08-07,50.84,50.93,51.24,50.39,153707.0
2023-08-08,50.55,50.05,50.6,50.01,136355.0
2023-08-09,50.24,50.61,50.75,50.09,151434.0
2023-08-10,50.26,49.4,50.35,48.55,385305.0
2023-08-11,49.34,48.23,49.5,48.19,255333.0
2023-08-14,47.55,48.49,48.62,47.33,195167.0
2023-08-15,48.36,48.21,48.61,47.65,163704.0
2023-08-16,47.85,48.28,48.41,47.41,153587.0
2023-08-17,47.95,48.89,48.99,47.58,152165.0
2023-08-18,48.83,47.84,48.9,47.68,134638.0
2023-08-21,47.66,47.43,48.41,47.4,131172.0
2023-08-22,47.35,47.42,47.73,46.46,230543.0
2023-08-23,47.17,46.77,47.71,46.65,157983.0
2023-08-24,47.04,48.1,48.5,46.55,255836.0
2023-08-25,48.0,48.31,49.04,47.57,164728.0
2023-08-28,50.35,49.21,51.03,48.83,288004.0
2023-08-29,48.93,49.1,49.54,48.6,217871.0
2023-08-30,49.09,49.87,50.23,48.76,233664.0
2023-08-31,50.35,49.56,50.85,49.53,280838.0
2023-09-01,50.05,50.98,51.55,50.04,266506.0
2023-09-04,51.55,51.27,51.85,50.67,200900.0
2023-09-05,51.31,50.83,51.54,50.66,153090.0
2023-09-06,50.56,50.23,51.05,49.93,208883.0
2023-09-07,50.14,49.62,50.17,49.55,136399.0
2023-09-08,49.79,49.13,49.88,48.86,84002.0
2023-09-11,49.36,49.48,49.93,49.06,140721.0
2023-09-12,49.47,50.26,50.77,49.35,164034.0
2023-09-13,50.15,50.05,50.59,49.75,107434.0
2023-09-14,50.06,49.6,50.31,49.31,102895.0
2023-09-15,49.69,48.84,49.74,48.35,164512.0
2023-09-18,48.85,49.15,49.64,48.26,144278.0
2023-09-19,49.04,49.1,49.2,48.5,123661.0
2023-09-20,49.08,49.94,50.29,48.78,213801.0
2023-09-21,49.93,49.37,49.93,49.07,167691.0
2023-09-22,49.64,50.1,50.16,49.22,221702.0
2023-09-25,49.94,49.68,49.94,49.28,166432.0
2023-09-26,49.81,49.05,50.25,49.05,189349.0
2023-09-27,49.05,49.24,49.71,48.48,188109.0
2023-09-28,49.44,48.53,49.55,48.46,170976.0
2023-10-09,48.51,48.81,49.16,47.95,286595.0
2023-10-10,48.54,47.82,48.82,47.47,214996.0
2023-10-11,47.8,47.82,48.94,47.55,204184.0
2023-10-12,48.05,48.33,48.53,47.66,176042.0
2023-10-13,48.24,48.04,48.49,47.58,129960.0
2023-10-16,47.85,48.13,48.46,47.85,150202.0
2023-10-17,48.13,48.93,49.04,48.1,168302.0
2023-10-18,48.73,48.52,48.94,48.26,106371.0
2023-10-19,48.34,47.28,48.34,47.23,201961.0
2023-10-20,46.99,46.23,47.11,45.93,210898.0
2023-10-23,46.05,46.3,46.68,45.76,168644.0
2023-10-24,46.06,46.23,46.54,45.25,250198.0
2023-10-25,46.84,45.47,47.06,45.19,258565.0
2023-10-26,45.27,45.56,45.77,45.08,151655.0
2023-10-27,45.41,46.79,47.05,45.26,253188.0
2023-10-30,46.38,47.55,47.69,46.38,164885.0
2023-10-31,47.35,45.97,47.35,45.75,238072.0
2023-11-01,45.86,46.06,46.51,45.75,189338.0
2023-11-02,46.05,46.23,47.46,45.86,200855.0
2023-11-03,46.17,45.85,46.4,45.77,177406.0
2023-11-06,46.05,46.19,46.35,45.75,249182.0
2023-11-07,46.15,46.15,46.33,45.63,188982.0
2023-11-08,45.7,45.9,46.04,45.56,213857.0
2023-11-09,45.93,45.5,46.38,45.4,141469.0
2023-11-10,45.35,45.75,45.91,45.3,130271.0
2023-11-13,45.69,44.11,45.69,43.73,382916.0
2023-11-14,44.07,44.14,44.47,43.85,248028.0
2023-11-15,44.49,44.59,44.81,44.0,196363.0
2023-11-16,44.45,44.8,45.24,44.36,216055.0
2023-11-17,44.65,44.91,45.02,44.26,135134.0
2023-11-20,44.59,45.48,45.95,44.59,182191.0
2023-11-21,45.67,45.5,46.24,45.5,158459.0
2023-11-22,45.5,45.2,45.65,44.95,97869.0
2023-11-23,45.2,45.81,45.98,44.9,101034.0
2023-11-24,45.85,45.53,45.9,45.12,157245.0
2023-11-27,45.48,45.02,45.48,44.8,159225.0
2023-11-28,45.25,45.58,45.85,44.58,217876.0
2023-11-29,45.58,45.06,45.63,44.77,124265.0
2023-11-30,44.86,44.72,45.05,44.46,128619.0
2023-12-01,45.35,43.6,45.41,43.38,316050.0
2023-12-04,43.53,43.14,43.84,42.89,220587.0
2023-12-05,43.14,42.27,43.24,42.27,225103.0
2023-12-06,42.11,42.23,42.7,41.8,191141.0
2023-12-07,42.41,43.27,43.54,42.27,250219.0
2023-12-08,43.23,43.39,44.13,43.14,218113.0
2023-12-11,42.9,44.07,44.45,42.27,252015.0
2023-12-12,44.55,44.05,44.6,43.77,172048.0
2023-12-13,43.95,43.74,44.04,43.56,128587.0
2023-12-14,43.96,43.94,44.52,43.63,165634.0
2023-12-15,43.56,43.38,44.15,43.35,204702.0
2023-12-18,43.08,44.14,44.23,42.8,223075.0
2023-12-19,44.13,43.8,44.13,43.51,169545.0
2023-12-20,43.8,44.08,44.45,43.57,254170.0
2023-12-21,44.27,45.07,45.33,43.92,274212.0
2023-12-22,44.96,45.82,46.04,44.75,227281.0
2023-12-25,45.67,45.72,46.3,45.48,113150.0
2023-12-26,45.67,45.85,46.28,45.58,161523.0
2023-12-27,45.83,46.65,46.75,45.77,203069.0
2023-12-28,46.49,47.1,47.21,46.3,247280.0
2023-12-29,47.12,47.68,48.03,46.77,259373.0
2024-01-02,47.68,47.61,48.1,47.25,239057.0
2024-01-03,47.64,47.5,47.85,47.15,206897.0
2024-01-04,47.71,48.3,48.37,47.5,267025.0
2024-01-05,48.25,48.65,49.13,47.9,300429.0
2024-01-08,48.65,48.05,48.65,47.67,278097.0
2024-01-09,47.76,48.22,48.38,47.16,216070.0
2024-01-10,48.22,48.27,48.82,47.89,178208.0
2024-01-11,48.27,48.05,48.54,47.78,212369.0
2024-01-12,47.95,48.05,48.76,47.63,243611.0
